Name,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble
31-12-1978,#N/A,#N/A,226.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.10,#N/A
31-01-1979,1840.80,#N/A,233.70,#N/A,745.20,139739.30,856.10,4511.30,#N/A,#N/A,108235.80,144.80,#N/A
28-02-1979,2011.70,#N/A,251.30,#N/A,827.80,154683.10,946.60,4985.70,#N/A,#N/A,119929.30,154.60,#N/A
30-03-1979,1940.20,#N/A,240.10,#N/A,796.70,148844.20,910.40,4812.90,#N/A,#N/A,116123.60,148.00,#N/A
30-04-1979,2013.10,#N/A,245.30,#N/A,819.40,152453.60,930.20,4891.00,#N/A,#N/A,117423.30,152.80,#N/A
31-05-1979,2253.40,#N/A,274.60,#N/A,933.30,171656.10,1048.40,5560.80,#N/A,#N/A,133889.60,172.00,#N/A
29-06-1979,2190.60,#N/A,277.50,#N/A,923.00,166854.40,1049.80,5477.30,#N/A,#N/A,133065.60,169.00,#N/A
31-07-1979,2354.10,#N/A,296.50,#N/A,1023.30,189817.00,1156.00,6147.70,#N/A,#N/A,145048.80,179.70,#N/A
31-08-1979,2527.70,#N/A,315.10,#N/A,1052.20,196888.00,1189.00,6424.50,#N/A,#N/A,153643.90,190.40,#N/A
28-09-1979,3190.30,#N/A,397.30,#N/A,1306.80,242994.80,1474.40,7894.90,#N/A,#N/A,191720.60,233.20,#N/A
31-10-1979,3142.60,#N/A,382.00,#N/A,1298.60,239598.90,1455.90,7808.00,#N/A,#N/A,183783.90,231.50,#N/A
30-11-1979,3310.30,#N/A,415.70,#N/A,1392.30,258912.70,1532.60,8260.50,#N/A,#N/A,201557.70,244.90,#N/A
31-12-1979,4189.60,#N/A,512.00,#N/A,1749.00,324101.30,2055.90,10645.20,#N/A,#N/A,253615.90,299.10,#N/A
31-01-1980,5329.60,#N/A,653.00,#N/A,2266.50,421828.90,2490.50,13763.80,#N/A,#N/A,387525.20,385.00,#N/A
29-02-1980,5138.10,#N/A,637.00,#N/A,2151.20,400528.20,2393.30,13036.50,#N/A,#N/A,371647.90,381.50,#N/A
31-03-1980,4155.40,#N/A,494.50,#N/A,1683.50,316964.80,1890.50,10312.80,#N/A,#N/A,294925.40,321.60,#N/A
30-04-1980,4155.20,#N/A,518.00,#N/A,1756.30,329451.40,1963.20,10712.70,#N/A,#N/A,306587.70,317.30,#N/A
30-05-1980,4152.30,#N/A,535.50,#N/A,1722.20,323825.60,1923.90,10526.00,#N/A,#N/A,316820.60,323.10,#N/A
30-06-1980,5150.40,#N/A,653.50,#N/A,2204.10,414677.60,2451.50,13466.50,#N/A,#N/A,399487.40,392.70,#N/A
31-07-1980,4813.20,#N/A,614.30,#N/A,2094.30,394486.30,2329.00,12792.60,#N/A,#N/A,378648.50,372.40,#N/A
29-08-1980,4903.60,#N/A,631.30,#N/A,2078.40,391180.50,2308.50,12745.40,#N/A,#N/A,390549.10,386.50,#N/A
30-09-1980,5211.30,#N/A,666.80,#N/A,2225.40,419188.70,2472.30,13638.50,#N/A,#N/A,418750.00,412.80,#N/A
31-10-1980,4911.20,#N/A,629.00,#N/A,2111.70,398885.50,2357.10,12999.30,#N/A,#N/A,414417.50,404.90,#N/A
28-11-1980,4871.90,#N/A,619.80,#N/A,2061.10,385638.40,2269.30,12677.80,#N/A,#N/A,409443.90,406.70,#N/A
31-12-1980,4620.30,#N/A,589.80,#N/A,1960.10,367506.80,2149.90,12026.70,#N/A,#N/A,389010.80,392.40,#N/A
30-01-1981,4123.20,#N/A,506.50,#N/A,1700.20,322681.90,1897.50,10623.80,#N/A,#N/A,337842.70,363.30,#N/A
27-02-1981,4082.90,#N/A,489.00,#N/A,1645.10,315684.50,1849.60,10333.10,#N/A,#N/A,328679.10,358.00,#N/A
31-03-1981,4240.50,#N/A,513.80,#N/A,1722.80,319803.10,1880.90,10481.00,#N/A,#N/A,345953.60,375.10,#N/A
30-04-1981,3998.50,#N/A,482.80,#N/A,1611.20,306365.50,1788.70,9999.80,#N/A,#N/A,326551.00,369.70,#N/A
29-05-1981,4046.50,#N/A,479.30,#N/A,1628.00,300077.80,1762.20,9967.10,#N/A,#N/A,327334.80,386.10,#N/A
30-06-1981,3703.80,#N/A,426.00,#N/A,1447.60,267801.70,1565.50,8820.80,#N/A,#N/A,288769.60,353.40,#N/A
31-07-1981,3655.10,#N/A,406.00,#N/A,1395.00,259920.10,1516.10,9395.60,#N/A,#N/A,278331.80,346.90,#N/A
31-08-1981,3820.10,#N/A,425.00,#N/A,1445.20,266472.50,1551.00,9711.30,#N/A,#N/A,291090.10,362.50,#N/A
30-09-1981,3870.40,#N/A,428.80,#N/A,1450.80,263485.10,1533.50,9593.30,#N/A,#N/A,292365.90,349.90,#N/A
30-10-1981,3876.40,#N/A,427.00,#N/A,1455.40,262289.90,1536.10,9516.40,#N/A,#N/A,290947.80,347.00,#N/A
30-11-1981,3815.00,#N/A,414.50,#N/A,1426.10,263773.40,1532.40,9542.70,#N/A,#N/A,286653.30,332.90,#N/A
31-12-1981,3625.10,#N/A,397.50,#N/A,1372.50,249492.10,1456.30,9089.60,#N/A,#N/A,280200.10,327.50,#N/A
29-01-1982,3546.00,#N/A,387.00,#N/A,1331.20,241185.50,1405.40,8746.40,#N/A,#N/A,274961.80,327.90,#N/A
26-02-1982,3373.90,#N/A,362.60,#N/A,1238.30,239036.00,1357.90,8442.40,#N/A,#N/A,258598.20,308.90,#N/A
31-03-1982,2987.60,#N/A,320.00,#N/A,1091.70,207452.80,1178.00,7365.00,#N/A,#N/A,230215.10,285.70,#N/A
30-04-1982,3322.10,#N/A,361.30,#N/A,1220.80,228982.00,1306.30,8080.40,#N/A,#N/A,257287.40,318.80,#N/A
