Date,Pure Gold (24 k),Standard Gold (22 K)
1/2/2006,768,711
1/3/2006,770.5,713
1/4/2006,784.5,726
1/5/2006,782.5,725
1/6/2006,776,719
1/7/2006,787.5,729
1/9/2006,790,732
1/10/2006,791,732
1/11/2006,788,730
1/12/2006,789,731
1/13/2006,790,732
1/16/2006,802,743
1/17/2006,812,752
1/18/2006,799,740
1/19/2006,803,744
1/20/2006,810,750
1/21/2006,808.5,749
1/23/2006,808.5,749
1/24/2006,809.5,750
1/25/2006,812,752
1/27/2006,814,754
1/28/2006,813.5,753
1/30/2006,815,755
1/31/2006,821.5,761
2/1/2006,819,758
2/2/2006,824.5,763
2/3/2006,829.5,768
2/4/2006,828.5,767
2/6/2006,830,769
2/7/2006,830,769
2/8/2006,803,744
2/9/2006,815,755
2/10/2006,814,754
2/11/2006,804.5,745
2/13/2006,798,739
2/14/2006,788,730
2/15/2006,797.5,738
2/16/2006,789.5,731
2/17/2006,796.5,738
2/18/2006,805.5,746
2/20/2006,806,746
2/21/2006,805.5,746
2/22/2006,807,747
2/23/2006,807.5,748
2/24/2006,805.5,746
2/25/2006,814.5,754
2/27/2006,813.5,753
2/28/2006,813,753
3/1/2006,819,758
3/2/2006,818,757
3/3/2006,824,763
3/4/2006,824,763
3/6/2006,825,764
3/7/2006,814,754
3/8/2006,807.5,748
3/9/2006,802,743
3/10/2006,802.5,743
3/11/2006,795,736
3/13/2006,798.5,739
3/14/2006,799.5,740
3/15/2006,808,748
3/16/2006,807,747
3/17/2006,808.5,749
3/18/2006,809.5,750
3/20/2006,811.5,751
3/21/2006,808,748
3/22/2006,808,748
3/23/2006,806.5,747
3/24/2006,806.5,747
3/25/2006,817.5,757
3/27/2006,820.5,760
3/28/2006,826.5,765
3/29/2006,822,761
3/30/2006,838,776
3/31/2006,848,785
4/1/2006,842,780
4/3/2006,847,784
4/4/2006,852,789
4/5/2006,852.5,789
4/6/2006,866,802
4/7/2006,874,809
4/8/2006,869.5,805
4/10/2006,878,813
4/12/2006,886,820
4/13/2006,889,823
4/15/2006,899.5,833
4/17/2006,903,836
4/18/2006,922,854
4/19/2006,931,862
4/20/2006,958,887
4/21/2006,922,854
4/22/2006,945.5,876
4/24/2006,942,872
4/25/2006,932.5,863
4/26/2006,940,870
4/27/2006,947,877
4/28/2006,945.5,876
4/29/2006,968.5,897
5/2/2006,993,900
5/4/2006,983.5,911
5/6/2006,1006.5,932
5/9/2006,1006,932
5/10/2006,1037.5,961
5/11/2006,1049,971
5/12/2006,1073,994
5/13/2006,1061.5,983
5/15/2006,1044.5,967
5/16/2006,1022,946
5/17/2006,1062.5,984
5/18/2006,1031,955
5/19/2006,1027,951
5/20/2006,991.5,918
5/22/2006,968,896
5/23/2006,980,907
5/24/2006,993.5,920
5/25/2006,973,901
5/26/2006,978,906
5/27/2006,978.5,906
5/29/2006,979,907
5/30/2006,986,913
5/31/2006,989,916
6/1/2006,967,895
6/2/2006,959.7,887
6/3/2006,962.5,891
6/5/2006,969,897
6/6/2006,959,888
6/7/2006,943,873
6/8/2006,943,873
6/9/2006,922,854
6/10/2006,921.5,853
6/12/2006,918,850
6/13/2006,900,833
6/14/2006,857.5,794
6/15/2006,865.5,801
6/16/2006,882,817
6/17/2006,880,815
6/19/2006,867.5,803
6/20/2006,864,800
6/21/2006,877,812
6/22/2006,895,829
6/23/2006,889,823
6/24/2006,887,821
6/26/2006,890,824
6/27/2006,897.5,831
6/28/2006,892,826
6/29/2006,890,824
6/30/2006,912,845
7/1/2006,932,863
7/3/2006,940,870
7/4/2006,942.5,873
7/5/2006,952.5,882
7/5/2006,955.5,885
7/6/2006,950.5,880
7/7/2006,955.5,885
7/8/2006,958,887
7/10/2006,951.5,881
7/11/2006,954,886
7/12/2006,975,903
7/13/2006,988,915
7/14/2006,1008.5,934
7/15/2006,1014,939
7/17/2006,1030,954
7/18/2006,999.5,926
7/19/2006,969,897
7/20/2006,984,911
7/21/2006,967,895
7/22/2006,958.5,888
7/24/2006,955,884
7/26/2006,953.5,883
7/27/2006,967.5,896
7/28/2006,969.5,898
7/29/2006,973.5,901
7/31/2006,976,904
8/1/2006,973,901
8/2/2006,990,917
8/3/2006,996.5,923
8/4/2006,990.5,917
8/5/2006,991.5,918
8/7/2006,994.5,921
8/8/2006,991,918
8/9/2006,981.5,909
8/10/2006,992.5,919
8/11/2006,984,911
8/12/2006,973,901
8/14/2006,967,895
8/16/2006,963,892
8/17/2006,967.5,896
8/18/2006,944,874
8/19/2006,943.5,874
8/21/2006,953,882
8/22/2006,963.5,892
8/23/2006,958.5,888
8/24/2006,957.5,887
8/25/2006,957,886
8/26/2006,958,887
8/28/2006,956.5,886
8/29/2006,949,879
8/30/2006,945.5,876
8/31/2006,953.5,883
9/1/2006,960,889
9/2/2006,959,888
9/4/2006,957.5,887
9/5/2006,959,888
9/6/2006,967.5,896
9/7/2006,963.5,892
9/8/2006,938,869
9/9/2006,932.5,863
9/11/2006,911.5,844
9/12/2006,912,845
9/13/2006,889,823
9/14/2006,903,836
9/15/2006,881.5,816
9/16/2006,884,819
9/18/2006,886,820
9/19/2006,891.5,826
9/20/2006,875.5,811
9/21/2006,880,815
9/22/2006,894.5,828
9/23/2006,892.5,826
9/25/2006,891.5,826
9/26/2006,898,832
9/27/2006,904,837
9/28/2006,913,845
9/29/2006,913.5,846
9/30/2006,908,841
10/3/2006,897.5,831
10/4/2006,871.5,807
10/5/2006,855.5,792
10/6/2006,863,799
10/7/2006,868,804
10/9/2006,875,810
10/10/2006,876,811
10/11/2006,865,801
10/12/2006,867,803
10/14/2006,886.5,821
10/16/2006,889,823
10/17/2006,893,827
10/18/2006,889.5,824
10/19/2006,880,815
10/20/2006,897,831
10/23/2006,883,818
10/24/2006,871,807
10/25/2006,873,808
10/26/2006,886,820
10/27/2006,886.5,821
10/28/2006,895,829
10/30/2006,900.5,834
10/31/2006,892,826
11/1/2006,902,835
11/2/2006,913,845
11/3/2006,922,854
11/4/2006,927.5,859
11/7/2006,924,856
11/8/2006,923,855
11/9/2006,910.5,843
11/10/2006,929,860
11/11/2006,925,857
11/13/2006,929,860
11/14/2006,925,857
11/15/2006,927,858
11/16/2006,926.5,858
11/17/2006,916.5,849
11/18/2006,920,852
11/20/2006,921.5,853
11/21/2006,922,854
11/22/2006,926,857
11/23/2006,929.5,861
11/24/2006,934,865
11/25/2006,938.5,869
11/27/2006,940,870
11/28/2006,941,871
11/29/2006,941,871
11/30/2006,939,870
12/1/2006,947,877
12/2/2006,947,877
12/4/2006,947.5,877
12/5/2006,947,877
12/6/2006,935.5,866
12/7/2006,930.5,862
12/8/2006,930,861
12/9/2006,924,856
12/11/2006,925,857
12/12/2006,928.5,860
12/13/2006,926.5,858
12/14/2006,925,857
12/15/2006,923,855
12/16/2006,909,842
12/18/2006,912,845
12/19/2006,910.5,843
12/20/2006,914.5,847
12/21/2006,915.5,848
12/22/2006,911.5,844
12/23/2006,912,845
12/25/2006,913,845
12/26/2006,917,849
12/27/2006,917.5,850
12/28/2006,918.5,851
12/29/2006,925,857
12/30/2006,930.5,862
1/1/2007,930.5,862
1/2/2007,932,864
1/3/2007,935,866
1/4/2007,908.4,842
1/5/2007,902,836
1/6/2007,881,816
1/8/2007,883.5,819
1/9/2007,891.5,826
1/10/2007,887.5,822
1/11/2007,891.5,826
1/12/2007,892.5,827
1/13/2007,908,841
1/16/2007,906,839
1/17/2007,903.5,837
1/18/2007,915.5,848
1/19/2007,909,842
1/20/2007,917,850
1/22/2007,916.5,849
1/23/2007,918.5,851
1/24/2007,928,860
1/25/2007,932.5,864
1/27/2007,932.5,864
1/29/2007,930,862
1/30/2007,928,860
1/31/2007,931,863
2/1/2007,938.5,870
2/2/2007,942.5,873
2/3/2007,933,865
2/5/2007,933,865
2/6/2007,933,865
2/7/2007,939.5,871
2/8/2007,934.5,866
2/9/2007,944.5,875
2/10/2007,953.5,884
2/12/2007,953.5,884
2/13/2007,953.5,884
2/14/2007,959,889
2/15/2007,958.5,888
2/16/2007,957.5,887
2/17/2007,959.5,889
2/19/2007,963,892
2/20/2007,962,891
2/21/2007,949.5,880
2/22/2007,971.5,900
2/23/2007,970,899
2/24/2007,976.5,905
2/26/2007,980.5,909
2/27/2007,980.5,909
2/28/2007,970.5,899
3/1/2007,969,898
3/2/2007,953.5,884
3/3/2007,939.5,861
3/5/2007,930,862
3/6/2007,933,865
3/7/2007,934.5,866
3/8/2007,944,875
3/9/2007,944,875
3/10/2007,939.5,871
3/12/2007,940.5,871
3/13/2007,936.5,868
3/14/2007,929,861
3/15/2007,930.5,862
3/16/2007,933.5,865
3/17/2007,938,869
3/19/2007,942.5,873
3/20/2007,937.5,869
3/21/2007,939.5,871
3/22/2007,945.5,876
3/23/2007,942.5,873
3/24/2007,936,867
3/26/2007,935.5,867
3/27/2007,937.5,869
3/28/2007,937,868
3/29/2007,940.5,871
3/30/2007,940.5,871
4/2/2007,941,872
4/3/2007,935,866
4/4/2007,932.5,864
4/5/2007,944.5,875
4/6/2007,944.5,875
4/7/2007,945.5,876
4/9/2007,942,873
4/10/2007,945.5,876
4/11/2007,947.5,878
4/12/2007,948.5,879
4/13/2007,945.5,876
4/16/2007,946,877
4/17/2007,937,868
4/18/2007,941.5,872
4/19/2007,942.5,873
4/20/2007,936.5,868
4/21/2007,942.5,873
4/23/2007,940,871
4/24/2007,928,860
4/25/2007,919,852
4/26/2007,913,846
4/27/2007,901,835
4/28/2007,912,845
4/30/2007,913,846
5/2/2007,906.5,840
5/3/2007,909,842
5/4/2007,910,843
